
id,Titulo,Descripcion,Estatus,Reportador
1,Error en la pagina,La pagina no carga,Pendiente,Juan

2,Error en la página,La página no carga,Pendiente,Juan
3,Error en el servidor,El servidor no responde,Pendiente,Pedro
4,Error en la página,La página no carga,Pendiente,Juan
5,Error en el servidor,El servidor no responde,Pendiente,Pedro
6,Error en la página,La página no carga,Pendiente,Juan
7,Error en el servidor,El servidor no responde,Pendiente,Pedro
8,ola,ola,Pendiente,andres
8,ola,ola,Pendiente,andres
9,Error en la página,La página no carga,Pendiente,Juan
10,Error en el servidor,El servidor no responde,Pendiente,Pedro
11,Error en la página,La página no carga,Pendiente,Juan
12,Error en el servidor,El servidor no responde,Pendiente,Pedro
13,ola,a,Pendiente,andres
13,ola,a,Pendiente,andres
14,Error en la página,La página no carga,Pendiente,Juan
15,Error en el servidor,El servidor no responde,Pendiente,Pedro
16,Error en la página,La página no carga,Pendiente,Juan
17,Error en el servidor,El servidor no responde,Pendiente,Pedro
